apelido,clube,posicao,preco,pontos,variacao,media,rodada,jogos
Lucas Fonseca,Bahia,Zagueiro,6.0,0.0,0.0,0.0,3,0
Juninho,Bahia,Zagueiro,13.01,2.6,0.2,8.0,3,2
Luiz Otávio ,Bahia,Zagueiro,3.79,0.0,0.0,0.5,3,1
Conti,Bahia,Zagueiro,7.44,2.5,0.26,2.8,3,3
Natan,Bragantino,Zagueiro,5.77,-1.7,-1.17,1.27,3,3
Messias,Ceará,Zagueiro,0.74,1.5,0.03,-1.03,3,3
Haydar,Bragantino,Zagueiro,2.0,0.0,0.0,0.0,3,0
Realpe,Bragantino,Zagueiro,3.0,0.0,0.0,0.0,3,0
Klaus,Ceará,Zagueiro,4.44,4.3,0.44,4.3,3,1
Bruno Alves,São Paulo,Zagueiro,6.81,-5.1,-2.54,0.47,3,3
Miranda,São Paulo,Zagueiro,10.65,2.0,-0.24,4.0,3,3
Gabriel Lacerda,Ceará,Zagueiro,1.69,0.0,0.0,-0.35,3,2
Arboleda,São Paulo,Zagueiro,9.0,0.0,0.0,0.0,3,0
Joílson,Chapecoense,Zagueiro,3.0,0.0,0.0,0.0,3,0
Felipe Santana,Chapecoense,Zagueiro,5.48,7.3,1.48,7.3,3,1
Kadu,Chapecoense,Zagueiro,3.0,0.0,0.0,0.0,3,0
Willian Arão,Flamengo,Zagueiro,11.55,5.8,0.48,6.35,3,2
Gustavo Henrique,Flamengo,Zagueiro,5.0,0.0,0.0,0.0,3,0
João Cesco,Chapecoense,Zagueiro,1.0,0.0,0.0,0.0,3,0
Tiago Coser,Chapecoense,Zagueiro,1.0,0.0,0.0,0.0,3,0
Danilo Avelar,Corinthians,Zagueiro,5.0,0.0,0.0,0.0,3,0
Jemerson,Corinthians,Zagueiro,7.0,0.0,0.0,0.0,3,0
Léo Pereira,Flamengo,Zagueiro,4.0,0.0,0.0,0.0,3,0
Derlan,Chapecoense,Zagueiro,2.04,3.6,1.1,1.27,3,3
Bruno Viana,Flamengo,Zagueiro,5.0,0.0,0.0,0.0,3,0
Hiago,Chapecoense,Zagueiro,2.0,0.0,0.0,0.0,3,0
Gabriel Noga,Flamengo,Zagueiro,2.0,0.0,0.0,0.0,3,0
Manoel,Fluminense,Zagueiro,5.83,0.0,-0.9,2.85,3,2
David Braz,Fluminense,Zagueiro,3.49,-0.6,-1.51,-0.6,3,1
Bruno Méndez,Corinthians,Zagueiro,5.0,0.0,0.0,0.0,3,0
Rodrigo Moledo,Internacional,Zagueiro,7.0,0.0,0.0,0.0,3,0
Matheus Ferraz,Fluminense,Zagueiro,5.0,0.0,0.0,0.0,3,0
Nino,Fluminense,Zagueiro,10.33,2.1,-0.6,4.9,3,2
Rafael Ribeiro,Fluminense,Zagueiro,2.0,0.0,0.0,0.0,3,0
Marllon,Cuiabá,Zagueiro,3.0,0.0,0.0,0.85,3,2
Diego,São Paulo,Zagueiro,4.0,0.0,0.0,0.0,3,0
Wellington,Santos,Zagueiro,2.0,0.0,0.0,0.0,3,0
Anderson Conceição,Cuiabá,Zagueiro,2.78,0.0,0.0,-1.0,3,1
Kuscevic,Palmeiras,Zagueiro,5.0,0.0,0.0,0.0,3,0
Lucas Ribeiro,Internacional,Zagueiro,0.74,1.3,0.04,-1.5,3,2
Luan,Palmeiras,Zagueiro,4.69,3.1,0.6,2.03,3,3
Derick ,Santos,Zagueiro,2.0,0.0,0.0,0.0,3,0
Pedro Henrique,Internacional,Zagueiro,0.71,0.0,0.0,-3.6,3,1
Zé Gabriel,Internacional,Zagueiro,3.75,5.8,1.84,1.8,3,2
Alan,Ceará,Zagueiro,2.0,0.0,0.0,0.0,3,0
Alan Empereur,Palmeiras,Zagueiro,5.64,0.0,0.0,3.1,3,1
Jackson,Fortaleza,Zagueiro,4.0,0.0,0.0,0.0,3,0
Marcelo Benevenuto,Fortaleza,Zagueiro,5.51,5.5,1.5,2.3,3,3
Walce,São Paulo,Zagueiro,3.0,0.0,0.0,0.0,3,0
Wanderson,Fortaleza,Zagueiro,3.0,0.0,0.0,0.0,3,0
Jordan,Ceará,Zagueiro,0.71,0.0,0.0,-0.6,3,1
Quintero,Fortaleza,Zagueiro,5.0,0.0,0.0,0.0,3,0
Paulo Miranda,Grêmio,Zagueiro,4.0,0.0,0.0,0.0,3,0
Rodrigues,Grêmio,Zagueiro,4.0,0.0,0.0,0.0,3,0
Rafael Forster,Juventude,Zagueiro,3.42,5.2,1.61,1.57,3,3
Kelvin,Juventude,Zagueiro,2.0,0.0,0.0,0.0,3,0
Vitor Mendes,Juventude,Zagueiro,3.21,4.6,1.33,2.5,3,3
