apelido,clube,posicao,preco,pontos,variacao,media,rodada,jogos
Zaracho,Atlético-MG,Meia,7.51,9.4,2.64,4.7,2,2
Tchê Tchê,Atlético-MG,Meia,6.04,-0.8,-2.18,0.5,2,2
André Lima,Atlético-GO,Meia,1.0,0.0,0.0,0.0,2,0
Matheus Galdezani,Bahia,Meia,1.15,-2.2,-1.98,-1.35,2,2
Igor Gomes,São Paulo,Meia,5.71,0.0,0.0,0.2,2,1
Liziero,São Paulo,Meia,3.97,0.0,0.0,-0.3,2,1
Luan,São Paulo,Meia,5.5,0.0,0.0,0.9,2,1
Jonas,Bahia,Meia,3.97,4.8,1.25,2.35,2,2
Jair,Atlético-MG,Meia,5.39,0.9,-1.61,0.9,2,1
Calebe,Atlético-MG,Meia,3.0,0.0,0.0,0.0,2,0
Borrero,Atlético-MG,Meia,1.43,0.0,-0.57,0.0,2,1
Allan,Atlético-MG,Meia,3.82,2.6,-0.36,0.8,2,2
Daniel,Bahia,Meia,7.24,0.0,0.0,6.4,2,1
Nathan,Atlético-MG,Meia,4.18,0.0,0.0,0.0,2,1
Juan Ramírez,Bahia,Meia,8.0,0.0,0.0,0.0,2,0
Jorginho,Ceará,Meia,10.11,0.3,0.22,5.25,2,2
Vitinho,Bragantino,Meia,4.0,0.0,0.0,0.0,2,0
Fabinho,Ceará,Meia,6.0,0.0,0.0,0.0,2,0
Hernanes,São Paulo,Meia,7.0,0.0,0.0,0.0,2,0
Pedro Naressi,Ceará,Meia,6.4,0.0,0.0,5.2,2,1
Lima,Ceará,Meia,9.0,0.0,0.0,0.0,2,0
William Oliveira,Ceará,Meia,3.0,0.0,0.0,0.0,2,0
Oliveira,Ceará,Meia,2.03,1.5,0.29,1.0,2,2
Ramires,Bragantino,Meia,6.57,1.0,0.1,3.15,2,2
Rodrigo Nestor,São Paulo,Meia,4.56,2.3,-0.44,2.3,2,1
Felipe Baxola,Ceará,Meia,3.0,0.0,0.0,0.0,2,0
Jadsom Silva,Bragantino,Meia,1.84,-0.7,-1.16,-0.7,2,1
Patrick de Lucca,Bahia,Meia,1.73,1.7,-0.43,-0.1,2,2
Fernando Sobral,Ceará,Meia,13.35,7.8,-0.65,7.8,2,1
Thonny Anderson,Bahia,Meia,4.46,0.0,0.0,0.4,2,1
Geovane,Ceará,Meia,1.0,0.0,0.0,0.0,2,0
Marlon,Ceará,Meia,4.0,0.0,0.0,0.0,2,0
Moisés Ribeiro,Chapecoense,Meia,1.06,-0.9,-1.24,-0.8,2,2
Gabriel Sara,São Paulo,Meia,4.9,3.0,-0.6,0.95,2,2
Charles,Ceará,Meia,2.36,1.7,-0.36,0.3,2,2
Lima,Chapecoense,Meia,2.87,0.9,0.15,1.4,2,2
William,São Paulo,Meia,4.0,0.0,0.0,0.0,2,0
Ravanelli,Chapecoense,Meia,4.51,2.4,0.4,2.15,2,2
Lucas Evangelista,Bragantino,Meia,15.75,3.1,1.41,8.85,2,2
Otero,Corinthians,Meia,8.0,0.0,0.0,0.0,2,0
Alan Santos,Chapecoense,Meia,3.0,0.0,0.0,0.0,2,0
Thiago Maia,Flamengo,Meia,7.0,0.0,0.0,0.0,2,0
Gabriel,Corinthians,Meia,5.02,1.7,-0.98,1.7,2,1
Ricardo Ryller,Bragantino,Meia,4.04,0.0,0.0,-0.2,2,1
Rodrigo Dourado,Internacional,Meia,7.0,0.0,0.0,0.0,2,0
Hugo Moura,Flamengo,Meia,2.78,0.0,0.0,0.0,2,1
Martinelli,Fluminense,Meia,3.59,-2.6,-2.88,-1.15,2,2
Gomes,Flamengo,Meia,5.0,0.0,0.0,0.0,2,0
Cantillo,Corinthians,Meia,4.21,2.3,-0.18,1.3,2,2
Richard Rios,Flamengo,Meia,2.0,0.0,0.0,0.0,2,0
Edenílson,Internacional,Meia,18.11,3.6,0.08,8.25,2,2
Max,Flamengo,Meia,2.0,0.0,0.0,0.0,2,0
Ronei,Chapecoense,Meia,3.77,-1.2,-0.55,1.5,2,2
Nonato,Internacional,Meia,1.1,-0.8,-1.2,-0.75,2,2
Wellington,Fluminense,Meia,1.94,-0.1,-0.84,-0.05,2,2
Maurício,Internacional,Meia,3.83,0.0,0.0,1.5,2,1
Tharlis,Chapecoense,Meia,2.0,0.0,0.0,0.0,2,0
Kelvi,Juventude,Meia,1.0,0.0,0.0,0.0,2,0
